task_id,post_id,annotator1_task_a,annotator1_task_b,annotator2_task_a,annotator2_task_b,task_a_agreement,task_b_agreement
347,837688252951811,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
351,1030315787456082,Flood / stormwater / wastewater / sewer,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
352,518244807006351,Routine / institutional / customer service / other,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,True
353,3500630873346915,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Instruction / advice to public,True,False
354,685080960329604,Public education / heritage / community engagement,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
355,818617961495185,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
356,305808883240113,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
357,379474605443604,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
359,2884003591676316,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
360,1574861954642486,Water conservation / drought / demand management,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
361,592012772962887,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,True
363,596692793745764,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
368,319921974741617,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
369,1160393634448296,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
371,5906271292729801,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
373,674648175892165,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,True,False
374,10155379502611714,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
376,978860867575934,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Institutional promotion / community news,True,False
378,987630648043440,Public education / heritage / community engagement,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,False,False
383,10155379503401714,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
384,760134667343515,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
386,605009481644311,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
390,10157764148304268,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
391,5434535793267011,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
396,225034692962016,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
402,1356032144549862,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
403,1100229430053750,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
407,2470231973290177,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Alert / warning,False,False
409,1653317808154626,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
410,6120160751340853,Public education / heritage / community engagement,Education / awareness,Routine / institutional / customer service / other,Education / awareness,False,True
411,1606291092727864,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
413,669094486500582,Routine / institutional / customer service / other,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,False,True
414,757262411428089,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
419,1469676736419623,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
421,5457806300909638,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
424,326670654023254,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
425,655816359922731,Water conservation / drought / demand management,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
429,986220088197738,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
430,5961284903895106,Water conservation / drought / demand management,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
431,1237656378398520,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
432,628355347304307,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
435,282834428406877,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
436,417636311709546,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
438,4565075156849428,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Reassurance / safety information,False,False
439,2528516407171990,Environmental sustainability / waste / recycling / biodiversity,Reassurance / safety information,Water quality / safety / public health,Reassurance / safety information,False,True
440,4721746344515641,Routine / institutional / customer service / other,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Alert / warning,False,False
442,2588220021254676,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
443,1350225270442947,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,False,False
444,4315145178509095,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Operational update / resolution,True,False
452,2315807095162638,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
453,4182502995106648,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
454,667260066684024,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Education / awareness,False,False
456,1460248434051846,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
458,10155379339911714,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
461,10158968794081714,Water conservation / drought / demand management,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
463,1407400992616876,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
464,3103098266380465,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
465,1143877719433221,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
466,1573959322680756,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
467,1076432921332972,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
468,10152978854331714,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
469,1096279413858471,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
471,794669796021450,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
474,1347264248746743,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
478,2629206137133338,Service disruption / repair / infrastructure,Operational update / resolution,Water quality / safety / public health,Instruction / advice to public,False,False
479,340978265925826,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
480,750377117117385,Routine / institutional / customer service / other,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
481,653491244674525,Routine / institutional / customer service / other,Other / unclear,Routine / institutional / customer service / other,Institutional promotion / community news,True,False
487,669491490205182,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
489,670236521952616,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
492,1659964967413524,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
494,3563016193775049,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Instruction / advice to public,True,False
497,747029164118847,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
498,1335287849957625,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Instruction / advice to public,False,False
499,969273196482708,Public education / heritage / community engagement,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,False,True
500,2587258034631160,Public education / heritage / community engagement,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,False,True
501,311929025497417,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
503,850015738408455,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,False
504,1712419425501411,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
505,840212414774114,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
507,1205967618198590,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Education / awareness,False,False
508,2084154571897921,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
511,601013733255610,Public education / heritage / community engagement,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
512,3313376578716287,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Alert / warning,True,False
516,2066757916734225,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Operational update / resolution,False,False
517,788439523320210,Water quality / safety / public health,Operational update / resolution,Water quality / safety / public health,Instruction / advice to public,True,False
518,903938990032843,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
521,4041244725897896,Routine / institutional / customer service / other,Alert / warning,Routine / institutional / customer service / other,Institutional promotion / community news,True,False
522,4748963515180305,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
524,1149029685250110,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
528,2697163200597052,Routine / institutional / customer service / other,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,False,True
533,734050839951898,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
535,1706145362871870,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
539,10159192846894268,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
540,1193759497443795,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
543,1311090085697493,Flood / stormwater / wastewater / sewer,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
544,2387581081318572,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
547,1145824289177644,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
549,893925712771590,Flood / stormwater / wastewater / sewer,Education / awareness,Service disruption / repair / infrastructure,Instruction / advice to public,False,False
555,869119421674778,Service disruption / repair / infrastructure,Alert / warning,Flood / stormwater / wastewater / sewer,Alert / warning,False,True
561,2956766764346950,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Institutional promotion / community news,False,False
562,1239785894816762,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
564,5203702446350348,Water conservation / drought / demand management,Reassurance / safety information,Routine / institutional / customer service / other,Reassurance / safety information,False,True
566,935980346425612,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
567,2730946287218743,Flood / stormwater / wastewater / sewer,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
568,749063291900178,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,False
569,387619011264720,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
570,726648270692155,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Institutional promotion / community news,False,False
571,971428401689531,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
572,1270961045213491,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Institutional promotion / community news,False,True
576,853443328065696,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Alert / warning,False,False
579,3176995725657385,Water conservation / drought / demand management,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,False,True
580,2082901108453239,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
582,939062761572313,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
584,3503886739687995,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
586,5302091029867548,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,False
587,1176488856172107,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Alert / warning,True,False
589,1230154712237912,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
592,1734983866555574,Service disruption / repair / infrastructure,Alert / warning,Flood / stormwater / wastewater / sewer,Alert / warning,False,True
593,4420845724605706,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
596,3365930343460910,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Routine / institutional / customer service / other,Education / awareness,False,False
597,1072464479907879,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
599,697687600718904,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
600,1029446404209687,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
601,1553680074771825,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
602,3813008162056135,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,False,False
603,827561503934164,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Education / awareness,False,False
604,1743426745680964,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
606,441820772624433,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
608,1866045683419069,Public education / heritage / community engagement,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
609,2010206479056036,Routine / institutional / customer service / other,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,True
612,1042929017839242,Public education / heritage / community engagement,Education / awareness,Service disruption / repair / infrastructure,Education / awareness,False,True
613,1277733397725695,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,False
615,1110953994366620,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
619,2496853687035251,Routine / institutional / customer service / other,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
620,909008296192579,Routine / institutional / customer service / other,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
623,1022617994428513,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
624,657388571067651,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
625,1473215211473828,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,True
626,257197367649860,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
630,5402658493091086,Public education / heritage / community engagement,Institutional promotion / community news,Service disruption / repair / infrastructure,Alert / warning,False,False
634,5070124146344524,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
637,10157041137451714,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
639,5840140602676204,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
641,969055691918429,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,False,False
643,1291696322975620,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
644,4023376564351379,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Operational update / resolution,True,False
645,3824289390981060,Public education / heritage / community engagement,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,True
646,10156555331446714,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
647,1412477825442526,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Education / awareness,True,False
648,988562444500735,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,True,False
651,2619105694832775,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Service disruption / repair / infrastructure,Instruction / advice to public,False,True
652,2455103904802984,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Instruction / advice to public,True,False
653,980747955335232,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
654,1082861815534812,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
655,236613519695635,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Operational update / resolution,True,False
657,227414277282226,Routine / institutional / customer service / other,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
659,1100283587125968,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
662,1526928027794853,Service disruption / repair / infrastructure,Operational update / resolution,Routine / institutional / customer service / other,Education / awareness,False,False
663,10155886684491714,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False
664,1528649693825338,Routine / institutional / customer service / other,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
670,10154192765626714,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Instruction / advice to public,True,False
671,1197759310711728,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
672,2836526976423978,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Education / awareness,False,False
675,465502257270774,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
676,904136129640356,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Instruction / advice to public,True,False
677,783392398351075,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Instruction / advice to public,False,False
679,2231076627205714,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Education / awareness,True,False
680,2560737150615335,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
683,999469650540696,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
685,1546868742056481,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,False,True
686,997728954048099,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
700,1325004711320520,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
701,590694817737027,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
702,936859503004363,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,True,False
704,903100595187435,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
705,1182773153886843,Public education / heritage / community engagement,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,False,True
706,1033277840029195,Public education / heritage / community engagement,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,False,True
707,1084652562022404,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Alert / warning,False,True
708,1068783676531659,Routine / institutional / customer service / other,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Education / awareness,False,False
709,859476179551421,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Operational update / resolution,False,False
711,5052818421408430,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Instruction / advice to public,True,False
712,376166972406955,Routine / institutional / customer service / other,Institutional promotion / community news,Water conservation / drought / demand management,Education / awareness,False,False
713,1370719813004709,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
715,916247468862915,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
716,1318265900305551,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Instruction / advice to public,True,False
717,4260643934012268,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,False
719,5187476364609301,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
721,4547531295323529,Routine / institutional / customer service / other,Institutional promotion / community news,Service disruption / repair / infrastructure,Operational update / resolution,False,False
724,1044607939012377,Routine / institutional / customer service / other,Other / unclear,Routine / institutional / customer service / other,Education / awareness,True,False
725,226129204140314,Public education / heritage / community engagement,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,False,True
726,6412861222070803,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Education / awareness,True,False
728,5189525387737732,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
729,1304594225039612,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Instruction / advice to public,False,False
730,10152918455841714,Routine / institutional / customer service / other,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,False,True
735,5007104915979781,Routine / institutional / customer service / other,Education / awareness,Water quality / safety / public health,Education / awareness,False,True
736,122242521296089660,Public education / heritage / community engagement,Education / awareness,Water quality / safety / public health,Instruction / advice to public,False,False
741,1022309258256735,Service disruption / repair / infrastructure,Alert / warning,Water quality / safety / public health,Operational update / resolution,False,False
743,434421051713,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,False,False
744,249518688485321,Routine / institutional / customer service / other,Education / awareness,Water conservation / drought / demand management,Education / awareness,False,True
745,10153056380001714,Public education / heritage / community engagement,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,False,True
748,1973029772850093,Routine / institutional / customer service / other,Institutional promotion / community news,Water quality / safety / public health,Instruction / advice to public,False,False
750,10157044704499268,Routine / institutional / customer service / other,Education / awareness,Public education / heritage / community engagement,Education / awareness,False,True
752,3961084050581878,Routine / institutional / customer service / other,Other / unclear,Service disruption / repair / infrastructure,Alert / warning,False,False
