post_id,utility_id,year,language,annotator1_task_a,annotator1_task_b,annotator2_task_a,annotator2_task_b,task_a_agreement,task_b_agreement,both_tasks_agreement
703555673054463,U01,2014,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
2477616312292322,U04,2019,Norwegian,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
865006189142314,U11,2024,Finnish,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,True,True
792192959613077,U05,2024,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
2487479011275730,U03,2019,Portuguese,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,True,True,True
4674139019276374,U03,2021,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
826414180715563,U03,2014,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
264149229050562,U12,2021,Finnish,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
298015120225602,U03,2011,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
779591432064505,U03,2014,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
10159741726999268,U08,2021,French,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
810239082449265,U05,2016,German,Routine / institutional / customer service / other,Other / unclear,Routine / institutional / customer service / other,Other / unclear,True,True,True
629426403800724,U01,2014,Finnish,Routine / institutional / customer service / other,Other / unclear,Routine / institutional / customer service / other,Other / unclear,True,True,True
6149049771785284,U03,2023,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
957888080931827,U04,2016,Norwegian,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
4502477263162266,U01,2021,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
4266386163438045,U01,2021,Finnish,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
1274422829364219,U05,2018,German,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
1141129325963760,U01,2016,Finnish,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
487014821322169,U03,2012,Portuguese,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Education / awareness,True,True,True
1382148820371833,U09,2026,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1205797504226618,U07,2024,Dutch,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
3579065058782534,U07,2020,Dutch,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,True,True,True
1913376152019355,U03,2018,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
635411570279841,U09,2019,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
5798918610131737,U03,2022,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
2083682935104867,U05,2021,German,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Operational update / resolution,True,True,True
1512802122076762,U03,2017,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
1249863363153365,U07,2025,Dutch,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,True,True,True
3468475069895829,U01,2020,Finnish,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
1582498608493494,U01,2018,Finnish,Service disruption / repair / infrastructure,Instruction / advice to public,Service disruption / repair / infrastructure,Instruction / advice to public,True,True,True
1316227670541390,U01,2026,Finnish,Service disruption / repair / infrastructure,Instruction / advice to public,Service disruption / repair / infrastructure,Instruction / advice to public,True,True,True
5341374305886172,U03,2022,Portuguese,Service disruption / repair / infrastructure,Instruction / advice to public,Service disruption / repair / infrastructure,Instruction / advice to public,True,True,True
3479233142100307,U03,2020,Portuguese,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
1875901239153228,U01,2018,Finnish,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1421320661341101,U05,2019,German,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1561863167634672,U09,2023,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
843329302473576,U05,2016,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1611290233677341,U07,2026,Dutch,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
640934569293848,U04,2014,Norwegian,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,True,True,True
1043513222468424,U02,2018,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
1347835776689456,U07,2025,Dutch,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1280791529075172,U09,2022,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1404067453414245,U09,2022,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
953619644661682,U03,2015,Portuguese,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
1048237685230199,U04,2016,Norwegian,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,True,True,True
1115455283942898,U04,2025,Norwegian,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1493395239247190,U09,2026,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
4182492671774347,U03,2021,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
1020975244592788,U03,2015,Portuguese,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Education / awareness,True,True,True
1178391645981828,U09,2021,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1440809259740064,U09,2022,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1152596324880204,U05,2018,German,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
820646871292294,U03,2014,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
974945639659764,U09,2020,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
935668725019847,U09,2024,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
10159280951291714,U10,2023,Swedish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
2742101039146858,U03,2019,Portuguese,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,True,True,True
676303959523935,U09,2019,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
738949374916987,U02,2023,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
4185777951498867,U01,2021,Finnish,Routine / institutional / customer service / other,Instruction / advice to public,Routine / institutional / customer service / other,Instruction / advice to public,True,True,True
1748593415280489,U05,2020,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
749334333653288,U09,2023,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
757072220983093,U03,2014,Portuguese,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
3311437555599582,U01,2020,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
4032602246763391,U03,2021,Portuguese,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
1126254047514432,U05,2018,German,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Education / awareness,True,True,True
1755136794563007,U01,2018,Finnish,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
10156909393624268,U08,2018,French,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,True,True,True
2587741577969187,U01,2019,Finnish,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
2848568515197098,U04,2020,Norwegian,Water quality / safety / public health,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,True,True,True
1980433235443080,U02,2021,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
1907050202651950,U03,2018,Portuguese,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,True,True,True
1036081569748822,U03,2015,Portuguese,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,True,True,True
10160222871474268,U08,2022,French,Water quality / safety / public health,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,True,True,True
10156349570084268,U08,2018,French,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
575794142444236,U03,2013,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
4926470870709853,U03,2021,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1177484077057961,U07,2024,Dutch,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
10157635825076714,U10,2020,Swedish,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1208146219673037,U09,2021,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1464329577388032,U09,2022,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1596130947077212,U03,2017,Portuguese,Water quality / safety / public health,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,True,True,True
1189079299231772,U07,2024,Dutch,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1019696953508893,U02,2024,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
2946285978781410,U01,2020,Finnish,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
721241387929832,U04,2014,Norwegian,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
3589039694506032,U01,2020,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
829961297027518,U03,2014,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
2836336613109681,U01,2020,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
10158522531004268,U08,2020,French,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Education / awareness,True,True,True
5763445703679028,U03,2022,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
3406947042715299,U01,2020,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
817740627058310,U05,2024,German,Flood / stormwater / wastewater / sewer,Education / awareness,Flood / stormwater / wastewater / sewer,Education / awareness,True,True,True
5301670199856583,U03,2022,Portuguese,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,True,True,True
989318259899001,U01,2024,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
2503385089738170,U01,2019,Finnish,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
2819202988133651,U04,2020,Norwegian,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1009289106225417,U09,2021,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
572764959444143,U04,2013,Norwegian,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
871418261444894,U09,2024,Italian,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Operational update / resolution,True,True,True
10157231824791714,U10,2020,Swedish,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,True,True,True
5116027258420879,U03,2022,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
756320408188956,U09,2020,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
3240547489355256,U01,2020,Finnish,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,True,True
10157335044851714,U10,2020,Swedish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
3311992542157702,U03,2020,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1995035007239850,U01,2018,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1233813377106321,U09,2022,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1355876113234146,U04,2026,Norwegian,Water quality / safety / public health,Operational update / resolution,Water quality / safety / public health,Operational update / resolution,True,True,True
10160121040174268,U08,2022,French,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
385173581575199,U03,2013,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
10160309974819268,U08,2022,French,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
6335975799759346,U03,2023,Portuguese,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
1979123055497712,U01,2018,Finnish,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1653278924695747,U03,2017,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
1111998275954499,U09,2021,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
4484705161606143,U01,2021,Finnish,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
2058872594426119,U12,2018,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
10154799250746714,U10,2017,Swedish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
2072549726155044,U01,2019,Finnish,Routine / institutional / customer service / other,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,False,False,False
3674716709218615,U03,2020,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
1182733863855299,U10,2025,Swedish,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,True,True,True
940907209319307,U01,2015,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
876508132775929,U11,2020,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
847139055309742,U03,2014,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
992491932223844,U07,2024,Dutch,Water quality / safety / public health,Instruction / advice to public,Water quality / safety / public health,Instruction / advice to public,True,True,True
10157284952749268,U08,2019,French,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
805423906147924,U03,2014,Portuguese,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
1275460965927072,U05,2018,German,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
420021876796629,U12,2022,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
565278316945344,U05,2015,German,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
4198486996841581,U03,2021,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
380989804210624,U11,2022,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
730653503624965,U03,2014,Portuguese,Water conservation / drought / demand management,Institutional promotion / community news,Water conservation / drought / demand management,Institutional promotion / community news,True,True,True
1856858304467241,U02,2021,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
714452778694563,U05,2016,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
2228735323869816,U01,2019,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
1045710105568827,U05,2017,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
995169035736482,U09,2024,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1393454087474334,U02,2019,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
950994767210122,U11,2025,Finnish,Public education / heritage / community engagement,Education / awareness,Public education / heritage / community engagement,Education / awareness,True,True,True
122272159682089660,U06,2026,English,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1233764902266439,U11,2026,Finnish,Flood / stormwater / wastewater / sewer,Instruction / advice to public,Flood / stormwater / wastewater / sewer,Instruction / advice to public,True,True,True
918686718618990,U09,2020,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1205607726593553,U09,2021,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1212246702596322,U09,2021,Italian,Service disruption / repair / infrastructure,Operational update / resolution,Service disruption / repair / infrastructure,Operational update / resolution,True,True,True
656765251066839,U01,2014,Finnish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
574976412526009,U03,2013,Portuguese,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Education / awareness,True,True,True
3809550619068556,U03,2020,Portuguese,Routine / institutional / customer service / other,Education / awareness,Routine / institutional / customer service / other,Education / awareness,True,True,True
953094378511557,U09,2020,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
5102037449819860,U03,2022,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
943885605688134,U01,2016,Finnish,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
10159006480366714,U10,2023,Swedish,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,Environmental sustainability / waste / recycling / biodiversity,Instruction / advice to public,True,True,True
1259452545974795,U09,2025,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
883468623962737,U11,2024,Finnish,Water quality / safety / public health,Education / awareness,Water quality / safety / public health,Education / awareness,True,True,True
10158292682519268,U08,2020,French,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
738998206123828,U03,2014,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
142725185850463,U03,2012,Portuguese,Water quality / safety / public health,Institutional promotion / community news,Water quality / safety / public health,Institutional promotion / community news,True,True,True
1548163771873930,U03,2017,Portuguese,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1315533541803622,U03,2016,Portuguese,Public education / heritage / community engagement,Institutional promotion / community news,Public education / heritage / community engagement,Institutional promotion / community news,True,True,True
10156784798954268,U08,2018,French,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
1364851978321169,U07,2025,Dutch,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,Flood / stormwater / wastewater / sewer,Institutional promotion / community news,True,True,True
959873242599395,U09,2024,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1615972115222529,U02,2020,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
4220184014671879,U03,2021,Portuguese,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,Environmental sustainability / waste / recycling / biodiversity,Institutional promotion / community news,True,True,True
622864387853403,U05,2015,German,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
805818389905824,U09,2020,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
1407745949247800,U07,2017,Dutch,Water conservation / drought / demand management,Instruction / advice to public,Water conservation / drought / demand management,Instruction / advice to public,True,True,True
1961595077487205,U12,2018,Finnish,Routine / institutional / customer service / other,Institutional promotion / community news,Routine / institutional / customer service / other,Institutional promotion / community news,True,True,True
2009278745891862,U02,2021,German,Water conservation / drought / demand management,Education / awareness,Water conservation / drought / demand management,Education / awareness,True,True,True
2409676815775665,U01,2019,Finnish,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,Environmental sustainability / waste / recycling / biodiversity,Education / awareness,True,True,True
921154533137933,U09,2024,Italian,Service disruption / repair / infrastructure,Alert / warning,Service disruption / repair / infrastructure,Alert / warning,True,True,True
