post_id,row_idx,utility_id,year,language,source_url,task_a_id,task_a_gold,task_b_id,task_b_gold,task_b1_gold
298015120225602,23,U03,2011,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/298015120225602,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
779591432064505,24,U03,2014,Portuguese,https://www.facebook.com/photo/?fbid=779591432064505&set=a.636558505181850,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
10159741726999268,25,U08,2021,French,https://www.facebook.com/photo/?fbid=10159741726999268&set=a.643560364467965,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
810239082449265,26,U05,2016,German,https://www.facebook.com/wasserbetriebe/posts/810239082449265,A7,Routine / institutional / customer service / other,B7,Other / unclear,Other / unclear
629426403800724,27,U01,2014,Finnish,https://www.facebook.com/photo/?fbid=629426403800724&set=a.476477601183072,A7,Routine / institutional / customer service / other,B7,Other / unclear,Other / unclear
6149049771785284,28,U03,2023,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02ka2bwUbjbv3NN3SGtBtiw4BZxwMHLzmwEJLovmutYNqsRCBjmoj9Bph9w51LfP5El,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
957888080931827,29,U04,2016,Norwegian,https://www.facebook.com/Oslovann/posts/957888080931827,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
4502477263162266,30,U01,2021,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid0Zzhu1kYh9fj4qh1Dkx7a8Bh9rmHzfrkCK965FyrDkMMnjX5GXH8HK53JNG3UvL1jl,A5,Environmental sustainability / waste / recycling / biodiversity,B2,Instruction / advice to public,Risk / incident communication
4266386163438045,31,U01,2021,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02txLm1C5FUNDFgfp1tVm4mDVyc98UMgxgckRDBx8ZhMiZXEKoMurDafcHJ3RQ1M8Hl,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
1274422829364219,32,U05,2018,German,https://www.facebook.com/wasserbetriebe/posts/pfbid0gX7pzm4g7UJHKQnsnLhnKQqmAHgKr2M9Qj9n6DGcqvUpDzTu5tFR8aT1mrNTxGn2l,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
1141129325963760,33,U01,2016,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/1141129325963760,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
487014821322169,34,U03,2012,Portuguese,https://www.facebook.com/photo/?fbid=487014821322169&set=a.636558505181850,A1,Water quality / safety / public health,B5,Education / awareness,Education / awareness
1382148820371833,35,U09,2026,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid0yjqxkA7e3xbNEKxZsCEEtU9tXXJajuZw6bhZ2AREHULZvPVbCj8EA11ZZL8DCnA9l,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
1205797504226618,36,U07,2024,Dutch,https://www.facebook.com/FARYSmultiservice/posts/pfbid02CdVprrfqWRt3JinKMes9JmH7jJFXHkJ98P9SxKwYLp4WiwjGZZoW1B4tTPuqpU4Gl,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
3579065058782534,37,U07,2020,Dutch,https://www.facebook.com/FARYSmultiservice/videos/1022800208240390/,A4,Flood / stormwater / wastewater / sewer,B6,Institutional promotion / community news,Institutional / community communication
1913376152019355,38,U03,2018,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02Xk69i8z5PR4yKtEXihBAdSDzWZ1a9Gkwc7Kf7vH3Mwhq4tfnCdGuHYuNKW94fCehl,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
635411570279841,39,U09,2019,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid0xkWWmksxezxbErGLtRQLReQ2deVtj1HxAav1yZNG7K89RK8HrmeXgNXNyvKmxCuNl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
5798918610131737,40,U03,2022,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02xtvDDNjYYioA46KDVV2wJVvmbQFBSTxFdjeoN6rCUtThK58QWG91LsZxRGr1JrgBl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
2083682935104867,41,U05,2021,German,https://www.facebook.com/wasserbetriebe/posts/pfbid0TyLozBWZTNgxzs9WBmD6xPtPgqVcPSAeeREBPC7qtkq2div67VA2zVmUkQi9bkzal,A2,Service disruption / repair / infrastructure,B3,Operational update / resolution,Risk / incident communication
1512802122076762,42,U03,2017,Portuguese,https://www.facebook.com/photo/?fbid=1512802122076762&set=a.636558505181850,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
1249863363153365,43,U07,2025,Dutch,https://www.facebook.com/FARYSmultiservice/posts/pfbid0Xzcf6KGGHs38gUx8j2N6JBK2oe9UrN6EjkMDx33WZ4MaCRC46qbERHf8nN67My84l,A3,Water conservation / drought / demand management,B2,Instruction / advice to public,Risk / incident communication
3468475069895829,44,U01,2020,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02UMWcfLTkKmP3F7gZFEQXvc4pVgLmZjeVuSZnWXJkh46BQYJ7aWg9zcSVbSyik5MGl,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
1582498608493494,45,U01,2018,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid0BhYoDxjLKmjuahxxD1LzFTqbvv2JHbmpwhZH5VyMQXNjPWKhhwgd4NLX2yoFdihVl,A2,Service disruption / repair / infrastructure,B2,Instruction / advice to public,Risk / incident communication
1316227670541390,46,U01,2026,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02RvCBK5qP1gKgVdjdTnEpVvDkAKRVnSf8YvxQLnVPb45aj5HobbkKPJZ2cRdCF3U5l,A2,Service disruption / repair / infrastructure,B2,Instruction / advice to public,Risk / incident communication
5341374305886172,47,U03,2022,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02zn8Naoq55VXj1n5zxYSfLANTnee8d3ofzqdAsk67d8Carr4bQZTnS7yzDKU512Lxl,A2,Service disruption / repair / infrastructure,B2,Instruction / advice to public,Risk / incident communication
3479233142100307,48,U03,2020,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid036rYntpMnvkVzF2NnAjGMmRz1TtG4rmdWpurC14NyXLvk6pvEVqbNBWifyo75S7q6l,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
1875901239153228,49,U01,2018,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid029a97BiyqqSWNQ64ShLKiWFEjNWpTjzdkELdp5ounfgtyg3SK89PzgpMGs8Zw1ucRl,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
1421320661341101,50,U05,2019,German,https://www.facebook.com/photo/?fbid=1421320661341101&set=a.632073468958361,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
1561863167634672,51,U09,2023,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02q9JNCzVQT5KhXndENTRRGi83g3FbFEEWofVUYstcWPXe3WhRgLzu7fXdQAX6drdel,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
843329302473576,52,U05,2016,German,https://www.facebook.com/photo/?fbid=843329302473576&set=a.632073468958361,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
1611290233677341,53,U07,2026,Dutch,https://www.facebook.com/FARYSmultiservice/posts/pfbid0369pAYTUxV7EedocpEgiTtJYsGehZ8mnZcLt4KCq1oC1a1C1uev2guZtxK2cHZ4qxl,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
640934569293848,54,U04,2014,Norwegian,https://www.facebook.com/photo/?fbid=640934569293848&set=a.485581470263619,A3,Water conservation / drought / demand management,B2,Instruction / advice to public,Risk / incident communication
1043513222468424,55,U02,2018,German,https://www.facebook.com/HamburgWasser/videos/1043513222468424/,A4,Flood / stormwater / wastewater / sewer,B5,Education / awareness,Education / awareness
1347835776689456,56,U07,2025,Dutch,https://www.facebook.com/FARYSmultiservice/posts/pfbid0UG3xzRdBLQJbHNPU3aiWXVhc22A2uBtJk9FJu51zemNQTQTEBD1tXmyX1yFEPY9Gl,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
1280791529075172,57,U09,2022,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid0Fpie8ZxfcaWLEnXkesrhdQuKDdmDfFhz3BzeLGfCRatdGsTciUd1DcemVyb7uhXBl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
1404067453414245,58,U09,2022,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid07puNo5EvfiR7KZokmadoobVPdpwqstYHnEa4qM36QYkU9fZcn57QDfJuQGzhzSYCl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
953619644661682,59,U03,2015,Portuguese,https://www.facebook.com/photo/?fbid=953619644661682&set=a.636558505181850,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
1048237685230199,60,U04,2016,Norwegian,https://www.facebook.com/Oslovann/posts/pfbid07huxrsJFQvFy4zrTHwdZbRjXLgBicBgMhJqphDSkdgo7MeudDyA48Mj3id1xHC1Rl,A3,Water conservation / drought / demand management,B2,Instruction / advice to public,Risk / incident communication
1115455283942898,61,U04,2025,Norwegian,https://www.facebook.com/Oslovann/videos/1055928339215686/,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
1493395239247190,62,U09,2026,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02g6yuvkNKWZMnZQXehCuEc3fZo89UmBUJVrEKLQkMDPCWgSqdnXqKo2mktjDmgMtEl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
4182492671774347,63,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02LXR3XQdkKftynpZQCrgFSGUYSSMpUcrVbVjiVC3hPXow4r1ACmwawjnJT1n8uMDol,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
1020975244592788,64,U03,2015,Portuguese,https://www.facebook.com/photo/?fbid=1020975244592788&set=a.636558505181850,A3,Water conservation / drought / demand management,B5,Education / awareness,Education / awareness
1178391645981828,65,U09,2021,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02ySG6eJhm9oauw1uBfgNT6W6syiziydVMXWe6GnonpCigKSQZpkDKGe921SLsHpXul,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
1440809259740064,66,U09,2022,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02tA34hG4oqkAPx3DTu7cEPuXEmmqeQ1A2ZgGqxT727YniCx7wCaPSQ1MkLx7V7qyzl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
1152596324880204,67,U05,2018,German,https://www.facebook.com/wasserbetriebe/posts/pfbid0Qqj5pP2TR6B8ZqSZZhAoMfUf4RTV5fvehUXvNxk2iz2xzLQPp1k12ze7HaVMoGoGl,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
820646871292294,68,U03,2014,Portuguese,https://www.facebook.com/photo/?fbid=820646871292294&set=a.636558505181850,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
974945639659764,69,U09,2020,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid0T1KNcDLBCjaMDs55Yf6cFsfjLX6dkSHb8DhcadoboHFxE5dcdoJWiELtjhw5WUmpl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
935668725019847,70,U09,2024,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid0bzuSt9wo6bMACbcFsqLdMUZJ1iw8XmreJF1aHCMX1UmiMJ1Gc2fADpwmDsBfyxfEl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
10159280951291714,71,U10,2023,Swedish,https://www.facebook.com/stockholmvattenochavfall/videos/563368692669225/,A5,Environmental sustainability / waste / recycling / biodiversity,B2,Instruction / advice to public,Risk / incident communication
2742101039146858,72,U03,2019,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02gMqMzK1fmQQoDLm2ksxxfnffjea9Y4nmuEH1J49QdgcqVDEL8YBAQ4y9WC7HsPWJl,A3,Water conservation / drought / demand management,B6,Institutional promotion / community news,Institutional / community communication
676303959523935,73,U09,2019,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02Mq6dorfZgWL4szGgLz4jxm89NsgrLb3SmZmNLvs4WTGycRSWGmTbDxZjekgwUQUSl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
738949374916987,74,U02,2023,German,https://www.facebook.com/HamburgWasser/videos/1317726675804150/,A4,Flood / stormwater / wastewater / sewer,B5,Education / awareness,Education / awareness
4185777951498867,75,U01,2021,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid0JZjEvtVdAJQX2XniWRzkNzknj9PE6TwpAWmhyCp6cCdJt5K5E1ZnVgjezaFP3rB7l,A7,Routine / institutional / customer service / other,B2,Instruction / advice to public,Risk / incident communication
1748593415280489,76,U05,2020,German,https://www.facebook.com/wasserbetriebe/posts/pfbid02sySeZbrfnt8Wq6KF2mt49Nxudy7vzZZpTg5q41FV1JvhWZtUGjzUX593AnAks2NHl,A4,Flood / stormwater / wastewater / sewer,B5,Education / awareness,Education / awareness
749334333653288,77,U09,2023,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02oH5Br9YkSKFnbZH9PTofNbmC1sgHwS32pnwfe3t3MhbEUojy4LvukhoobagDyK5Kl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
757072220983093,78,U03,2014,Portuguese,https://www.facebook.com/photo/?fbid=757072220983093&set=a.757072137649768,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
3311437555599582,79,U01,2020,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02UPFxnaY9BF7iEwYafuetxv8F3Ek41ojSq997AmAP6ipz1zULAcmHxaKLdvXg2SWxl,A5,Environmental sustainability / waste / recycling / biodiversity,B2,Instruction / advice to public,Risk / incident communication
4032602246763391,80,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02LMUdgxxFqhVf6qsWDyr2SiEb4pQgjwqTYBjvNsJZEjWo9nPBXixebQQc5wd1um7Tl,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
1126254047514432,81,U05,2018,German,https://www.facebook.com/wasserbetriebe/posts/pfbid0CXVUqhRJ3Q8usVco5DUuHQFD6CYPyWXsAnTYYmRADy1nw4eRt7tYyhU4Scb7x2fzl,A7,Routine / institutional / customer service / other,B5,Education / awareness,Education / awareness
1755136794563007,82,U01,2018,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02ViFYEDz9qTjA1AVJS73WnqiuEaCvQDTVVMRoT5FdA1DiJEL3SV5CDZk9Dk4nBrmCl,A5,Environmental sustainability / waste / recycling / biodiversity,B6,Institutional promotion / community news,Institutional / community communication
10156909393624268,83,U08,2018,French,https://www.facebook.com/eaudeparis/posts/pfbid08AZWGKTFwBwgvPTFQHrJpA1H7REcyFUDTZbXYZ6eYYL5yH4fUNprX3tiQkDPs23yl,A3,Water conservation / drought / demand management,B2,Instruction / advice to public,Risk / incident communication
2587741577969187,84,U01,2019,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02ZSpEL7dEo5NNZ6hWcowWSFLTfZ71J54fcYivZyxgMp8YqwSeYZDjcAaDv5cTj2Kal,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
2848568515197098,85,U04,2020,Norwegian,https://www.facebook.com/Oslovann/posts/pfbid026dE5fKBT6anVj2seDLcj9KVJGjAuQaUUkzUbkZaSUS4mYWq6pxjfnZuhZ2Qo2J28l,A1,Water quality / safety / public health,B2,Instruction / advice to public,Risk / incident communication
1980433235443080,86,U02,2021,German,https://www.facebook.com/HamburgWasser/posts/pfbid0ZddNhQF68hfgrz66dTmvx6A5AmvnUZS6eYwHfBT34iABwN5DicGEWAstdhDLrcLEl,A4,Flood / stormwater / wastewater / sewer,B5,Education / awareness,Education / awareness
1907050202651950,87,U03,2018,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid04zDRXT6ngmefpqUUfi9RnmQUgb8VH5xzP3mwpGcyGSs93zMF8iCTv2UAMvUEy6qEl,A3,Water conservation / drought / demand management,B6,Institutional promotion / community news,Institutional / community communication
1036081569748822,88,U03,2015,Portuguese,https://www.facebook.com/photo/?fbid=1036081569748822&set=a.636558505181850,A3,Water conservation / drought / demand management,B6,Institutional promotion / community news,Institutional / community communication
10160222871474268,89,U08,2022,French,https://www.facebook.com/eaudeparis/videos/1060109704936652/,A1,Water quality / safety / public health,B2,Instruction / advice to public,Risk / incident communication
10156349570084268,90,U08,2018,French,https://www.facebook.com/eaudeparis/videos/10156349570084268/,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
575794142444236,91,U03,2013,Portuguese,https://www.facebook.com/photo/?fbid=575794142444236&set=a.636558505181850,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
4926470870709853,92,U03,2021,Portuguese,https://www.facebook.com/EPALaguaslivres/posts/pfbid02absSonfxepr1CDcWXox5uHBw2HW7hayPEFRKRjgmJNvh9VqtabRehH4xy5yE7vZUl,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
1177484077057961,93,U07,2024,Dutch,https://www.facebook.com/FARYSmultiservice/posts/pfbid02JSC6cSsuq8jw5rAG9FUnMyAhWN7hiTLEaoTRFdb9FqnYcCmDY463PyWETzVSztNdl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
10157635825076714,94,U10,2020,Swedish,https://www.facebook.com/stockholmvattenochavfall/posts/pfbid02KdRyJwP2RDeDfenmaR2V84WbxwzcNRGNZ82pJ4vsKNHvEnvJXRmf6qhiD3Hxtywbl,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
1208146219673037,95,U09,2021,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid02tLdTPgdr42gvCXhvjVp1BS5Pq1jo8sLngP2S3bbAK5GXSH62Xwbh9r5E6nKj2K6tl,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
1464329577388032,96,U09,2022,Italian,https://www.facebook.com/abcacquabenecomunenapoli/posts/pfbid082v8uNG8noxNz1DyfPfLyR6BGpH5rLX7KuLSFByoMYVGGyx9t4iDF7H9LRGtcDZul,A2,Service disruption / repair / infrastructure,B1,Alert / warning,Risk / incident communication
1596130947077212,97,U03,2017,Portuguese,https://www.facebook.com/photo/?fbid=1596130947077212&set=a.636558505181850,A1,Water quality / safety / public health,B2,Instruction / advice to public,Risk / incident communication
1189079299231772,98,U07,2024,Dutch,https://www.facebook.com/FARYSmultiservice/posts/pfbid0v1HGeGUZ6Ngqtq8uMJoGLjTMDetbcCQYRi17AAegiGUupTx8P7CwyTtLfT32LPvpl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
1019696953508893,99,U02,2024,German,https://www.facebook.com/HamburgWasser/posts/pfbid0gDY3oNC4UrkNE573U7k1q3rMSp2iU6F9mayFbupNo1EQz3N62nZNa2EXyRchFXgjl,A4,Flood / stormwater / wastewater / sewer,B5,Education / awareness,Education / awareness
2946285978781410,100,U01,2020,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid0SPw6aYoCQnLuJTNicc48DWeaa1dLRBo55voh1CJJNpJHPTwQ2DYqzQPqabkCSdrel,A5,Environmental sustainability / waste / recycling / biodiversity,B5,Education / awareness,Education / awareness
721241387929832,101,U04,2014,Norwegian,https://www.facebook.com/photo/?fbid=721241387929832&set=a.485581470263619,A6,Public education / heritage / community engagement,B5,Education / awareness,Education / awareness
3589039694506032,102,U01,2020,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid0WzBqreqjmxELENmUjgHGk3hzot8e3y5UeC9jM5B9FhLdrhZ4nbbxf7FYP23iNmmtl,A5,Environmental sustainability / waste / recycling / biodiversity,B2,Instruction / advice to public,Risk / incident communication
829961297027518,103,U03,2014,Portuguese,https://www.facebook.com/photo/?fbid=829961297027518&set=a.636558505181850,A6,Public education / heritage / community engagement,B6,Institutional promotion / community news,Institutional / community communication
2836336613109681,104,U01,2020,Finnish,https://www.facebook.com/helsinginseudunymparistopalvelut/posts/pfbid02yL33pkgcEd4XfKUFrGRj5XdcxdQcJ7cb1LNdqpFvdPkapzwCUCH2ppYXuSu3bZtGl,A7,Routine / institutional / customer service / other,B6,Institutional promotion / community news,Institutional / community communication
10158522531004268,105,U08,2020,French,https://www.facebook.com/photo/?fbid=10158522531004268&set=a.643560364467965,A1,Water quality / safety / public health,B5,Education / awareness,Education / awareness
